Date,Year,Month,WorkingDay,DayIndex,Sales_Y,Sales_Y1
2026-06-01,2026,6,1,1,3000,4000
2026-06-02,2026,6,1,2,5000,9000
2026-06-03,2026,6,1,3,4000,14000
2026-06-04,2026,6,1,4,6000,19000
2026-06-05,2026,6,1,5,5000,25000
2026-06-08,2026,6,1,6,7000,31000
2026-06-09,2026,6,1,7,4000,37000
2026-06-10,2026,6,1,8,8000,44000
2026-06-11,2026,6,1,9,6000,50000
2026-06-12,2026,6,1,10,9000,58000
2026-06-15,2026,6,1,11,5000,65000
2026-06-16,2026,6,1,12,7000,73000
2026-06-17,2026,6,1,13,8000,80000
2026-06-18,2026,6,1,14,6000,88000
2026-06-19,2026,6,1,15,9000,96000
2026-06-22,2026,6,1,16,7000,103000
2026-06-23,2026,6,1,17,10000,112000
2026-06-24,2026,6,1,18,8000,121000
2026-06-25,2026,6,0,19,,
2026-06-26,2026,6,0,20,,
2026-06-29,2026,6,0,21,,
2026-06-30,2026,6,0,22,,
